species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriality,foraging_environment,daily_activity
Chlorocebus_aethiops,Mammalia,Primates,30.8,5620,nonvolant,nonfossorial,semiarboreal,diurnal
Choloepus_didactylus,Mammalia,Pilosa,36.8,6250,nonvolant,nonfossorial,arboreal,nocturnal
Choloepus_hoffmanni,Mammalia,Pilosa,37,6250,nonvolant,nonfossorial,arboreal,nocturnal
Chrysocyon_brachyurus,Mammalia,Carnivora,16.8,21500,nonvolant,nonfossorial,terrestrial,nocturnal
Coendou_prehensilis,Mammalia,Rodentia,26.6,3900,nonvolant,nonfossorial,arboreal,nocturnal
Colobus_angolensis,Mammalia,Primates,35.3,8625,nonvolant,nonfossorial,arboreal,diurnal
Colobus_guereza,Mammalia,Primates,35,9950,nonvolant,nonfossorial,arboreal,diurnal
Connochaetes_gnou,Mammalia,Artiodactyla,21.8,132250,nonvolant,nonfossorial,terrestrial,diurnal
Connochaetes_taurinus,Mammalia,Artiodactyla,24.3,164500,nonvolant,nonfossorial,terrestrial,diurnal
Corynorhinus_townsendii,Mammalia,Chiroptera,20.5,14.25,volant,nonfossorial,in_air,nocturnal
Crocuta_crocuta,Mammalia,Carnivora,41.1,63000,nonvolant,nonfossorial,terrestrial,nocturnal
Cryptomys_damarensis,Mammalia,Rodentia,15.5,180,nonvolant,fossorial,terrestrial,cathemeral
Cryptoprocta_ferox,Mammalia,Carnivora,23.1,9500,nonvolant,nonfossorial,semiarboreal,cathemeral
Cryptotis_parva,Mammalia,Soricomorpha,3.5,4.5,nonvolant,semifossorial,terrestrial,cathemeral
Cuon_alpinus,Mammalia,Carnivora,16.1,15750,nonvolant,semifossorial,terrestrial,cathemeral
Cynictis_penicillata,Mammalia,Carnivora,15.2,598.5,nonvolant,semifossorial,terrestrial,diurnal
Cynomys_ludovicianus,Mammalia,Rodentia,11,1125,nonvolant,semifossorial,arboreal,diurnal
Cynopterus_brachyotis,Mammalia,Chiroptera,10.1,45,volant,nonfossorial,in_air,nocturnal
Dama_dama,Mammalia,Artiodactyla,21.1,70000,nonvolant,nonfossorial,terrestrial,diurnal
Damaliscus_lunatus,Mammalia,Artiodactyla,23.6,110000,nonvolant,nonfossorial,terrestrial,crepuscular
Damaliscus_pygargus,Mammalia,Artiodactyla,23,84500,nonvolant,nonfossorial,terrestrial,crepuscular
Dasyprocta_azarae,Mammalia,Rodentia,11.8,2650,nonvolant,nonfossorial,terrestrial,diurnal
Dasyprocta_leporina,Mammalia,Rodentia,17.8,3265,nonvolant,nonfossorial,terrestrial,diurnal
Dasyprocta_punctata,Mammalia,Rodentia,13.8,2150,nonvolant,nonfossorial,terrestrial,diurnal
Dasypus_novemcinctus,Mammalia,Cingulata,22.3,5500,nonvolant,semifossorial,terrestrial,cathemeral
Haplonycteris_fischeri,Mammalia,Chiroptera,10,18,volant,nonfossorial,in_air,nocturnal
Helarctos_malayanus,Mammalia,Carnivora,35.9,46000,nonvolant,nonfossorial,semiarboreal,nocturnal
Helogale_parvula,Mammalia,Carnivora,18,274.8,nonvolant,semifossorial,terrestrial,diurnal
Heterocephalus_glaber,Mammalia,Rodentia,31,35,nonvolant,fossorial,terrestrial,cathemeral
Hexaprotodon_liberiensis,Mammalia,Artiodactyla,42.3,215000,nonvolant,nonfossorial,aquatic,nocturnal
Hippopotamus_amphibius,Mammalia,Artiodactyla,61.2,3750000,nonvolant,nonfossorial,terrestrial,nocturnal
Hipposideros_fulvus,Mammalia,Chiroptera,13,7,volant,nonfossorial,in_air,nocturnal
Hippotragus_equinus,Mammalia,Artiodactyla,25.9,225000,nonvolant,nonfossorial,terrestrial,diurnal
